blockNumber,timeStamp,blockReward
9499775,1581931097,2004085485000000000
9499683,1581929895,2201243951807627710
9499467,1581926774,2032072427085415015
9499328,1581924996,2084203171980146232
9498993,1581920633,2081700573661111617
9498813,1581918071,2070977204846544976
9498775,1581917690,2035564036737988490
9498394,1581912517,2151448386209681532
9498059,1581907807,2097735811824665827
9497904,1581905714,2038438701837963048
9497619,1581902087,2129208665858216739
9497496,1581900455,2012971664400000000
9497473,1581900168,2115447301223479180
9497419,1581899489,2101421489740012721
9497202,1581896322,2204775546334443306
9496895,1581892185,2044047145500059800
9496849,1581891651,2006887869909984000
9496596,1581888541,2073569529065882150
9495434,1581872782,2184447626510775224
9495404,1581872422,11114802484902239733
9494856,1581865473,2086909253466720136
9494224,1581857108,2183901836625839116
9493907,1581853193,2039030473798618844
9493893,1581853032,2065409015188400411
9493779,1581851598,2142530863512873811
9493771,1581851426,2102262732008900000
9493615,1581849168,2001680000000000000
9493460,1581847120,2061184936589678484
9493393,1581846337,2036427465679215817
9493328,1581845589,2097874203692125572
9493303,1581845197,2080192681749011140
9492810,1581839045,2179027097939670332
9492594,1581836315,2000000000000000000
9492517,1581835304,2025859660202170385
9492372,1581833312,2135159537738363749
9492320,1581832691,2058956282232000211
9492242,1581831693,2080843854381538445
9492072,1581829502,2011448684240438818
9491621,1581823478,2035807707860417759
9491558,1581822572,2135744607777247615
9491551,1581822470,2351310505794029199
9491444,1581820851,2053704775025895412
9490781,1581811965,2871633718768005026
9490284,1581804858,2079346998354356377
9490176,1581803380,2063448178581373251
9490111,1581802495,2011960403223261804
9490074,1581802061,2020622159127390000
9489867,1581799502,2018987548128500000
9489835,1581799170,2131203223491015324
9489410,1581793251,2168979880026707321
9489307,1581791763,2105484130521378705
9489303,1581791755,2121292762791217507
9489273,1581791304,2081870848707916037
9489130,1581789420,2008547756235200000
9488979,1581787192,2210410996773056276
9488946,1581786786,2131688767581431900
9488847,1581785359,2207652955187877090
9488835,1581785233,2159843167828783692
9488699,1581783388,2097850930674315884
9488617,1581782475,2087921237013936663
9488582,1581782090,2164707844405142665
9488353,1581778874,2062995116196666560
9488106,1581775563,2047916767531344064
9487813,1581771720,2006300000000000000
9487763,1581771170,2000000000000000000
9487718,1581770515,2021374263407860528
9487664,1581769758,2033678542055420948
9487528,1581767967,2056056171520077974
9487166,1581763073,2210265528586772889
9486686,1581757076,2043964804039414077
9486665,1581756779,2010017314061826594
9486330,1581752414,2115741832638493343
9486293,1581751788,2117498603210193165
9486053,1581748871,2004341782400000000
9485500,1581741884,2046286871464468452
9485428,1581741024,2033859680275893102
9485352,1581739944,2038887968397179744
9485166,1581737479,2043707881517790681
9484469,1581727298,2023656714825000000
9484390,1581726332,2051752366791900000
9484225,1581724237,2064562987743349418
9484168,1581723489,2059365875099808505
9484079,1581722184,2006424237000000000
9483935,1581720238,2044821691386688000
9483909,1581719973,2106055896997236980
9483085,1581709044,2062235191784055586
9482924,1581707049,2040985140682807551
9482815,1581705669,2125868690396703813
9482770,1581705128,2083343080971477785
9482661,1581703636,2135595386268081605
9482393,1581699909,2062065857015743032
9482371,1581699619,2126068272171420000
9482334,1581699020,2107830679358331255
9482258,1581697991,2105348022975582940
9482091,1581695987,2108913313324563756
9481956,1581694196,2266917335299067147
9481654,1581690405,2137853764163698642
9481603,1581689788,2160190051971162681
9481512,1581688729,2073377643030517448
9481241,1581684889,2122099964387012475
9481026,1581682031,2266743340448901802
9480767,1581678343,2188908359134388716
9480745,1581678080,2135451805433755532
9480687,1581677111,2056233014398225420
9480500,1581674811,2103099392994246684
9480448,1581674179,2006132383000000000
9480308,1581672124,2170529038962137742
9480298,1581671979,2109440364720053420
9480137,1581669613,2016007572120000000
9480123,1581669471,2044397038113319032
9479521,1581661229,2041907080174836693
9479345,1581658912,2025337088812194000
9479271,1581658124,2059779268020761164
9479109,1581656067,2075193778940703399
9479056,1581655291,2104895739141525035
9478779,1581651484,2101558025030430949
9478765,1581651354,2130444589727695875
9478703,1581650644,2043009882126066825
9478593,1581649053,2054062507355589142
9478563,1581648502,2144942465121149126
9478462,1581647129,2056810847795779710
9478423,1581646680,2021426443750000000
9478317,1581645369,2043636174408306213
9478157,1581643308,2136987199048663493
9477963,1581640723,2016061109616549922
9477759,1581638117,2065821999848266354
9477695,1581637273,2020218198260114514
9477663,1581636974,2101332830808181368
9477635,1581636558,2053087975538256070
9477616,1581636401,2049383545926198995
9477546,1581635476,2054243045627446844
9477423,1581633831,2066015286442594616
9477398,1581633431,2093070469874798220
9477389,1581633324,2073925358779279166
9477373,1581633092,2062728411768499992
9477285,1581631660,2016785008575320622
9477234,1581630992,2053296806558439663
9477179,1581630191,2029429002224344297
9476903,1581626572,2022746191799932558
9476895,1581626438,2026093434462771781
9476871,1581626139,2081009503431872208
9476826,1581625601,2045773475126849028
9476799,1581625277,2091521803705292373
9476736,1581624377,2068322710835673715
9476713,1581624147,2045620869450341973
9476428,1581620160,2031339700730141404
9476392,1581619662,2020277771900141404
9476346,1581619220,2024774426934980468
9476307,1581618716,2059192541643333841
9476274,1581618311,2109138228377404856
9476265,1581618225,2084660964129295512
9476084,1581615531,2063916058654000000
9475892,1581613047,2124405486000993809
9475800,1581611780,2075055351137751360
9475793,1581611709,2011986956993898000
9475263,1581604428,2048124394430848340
9475094,1581602478,2000000000000000000
9474643,1581596834,2050619394993338926
9474261,1581591541,2089195678209592288
9474141,1581589788,2187935620692835085
9474038,1581588350,2253851430139749497
9473619,1581582871,2006026061000000000
9473525,1581581711,2179383157320462988
9473328,1581579314,2037812030961844340
9473269,1581578555,2107987340052527512
9473236,1581578097,2152975737916882679
9473045,1581575419,2082885932563244647
9472988,1581574569,2038979374508173347
9472365,1581566495,2003662815000000000
9472313,1581565897,2167302959426646881
9472298,1581565570,2108763327398464690
9472277,1581565232,2079397197837556100
9472245,1581564876,2205680411854853401
9472136,1581563628,2070797097116926558
9472090,1581563013,2094182664777100443
9472084,1581562903,2213705764586502847
9472012,1581561864,2126163581534871312
9471547,1581555640,2154400249351002496
9471382,1581553182,2064910033631769290
9471296,1581551984,2307392411569450000
9471270,1581551566,2132392891603454778
9470415,1581540253,2084781606978305505
9470300,1581538883,2037629166330000000
9470156,1581536808,2033671161837218000
9470091,1581536075,2046376741093002077
9470040,1581535394,2139611452552904540
9469931,1581533837,2105992436512287955
9469840,1581532693,2023675085144287360
9469744,1581531532,2117592690471568139
9469656,1581530450,2123841736315846860
9469418,1581527176,2148985432225171348
9469402,1581526963,2092309984646977945
9469390,1581526803,2184785661482462669
9469352,1581526371,2088726400256674324
9469351,1581526350,2129255953769066332
9469261,1581525244,2105157822009100479
9469236,1581524927,2188723715941188063
9469168,1581524050,2006323005000000000
9469047,1581522670,2267288617494380825
9468965,1581521550,2121149341815188694
9468818,1581519458,2133653817418301533
9468655,1581517311,2004114389000000000
9468467,1581514819,2104341285538254012
9468464,1581514791,2075482832297063842
9468304,1581512631,2153448699743153336
9468275,1581512305,2069820871335823371
9468179,1581511256,2072357241658078184
9468041,1581509261,2155117581824152450
9467749,1581505159,2092100097703956618
9467703,1581504423,2309326691265135580
9467633,1581503490,2066142686012398163
9467566,1581502559,2138237449891782571
9467529,1581502010,2123286265651834796
9467456,1581501041,2062160891107442874
9467440,1581500812,2089782329927715646
9467434,1581500749,2061022251943430378
9467373,1581499922,2084069626169000000
9467003,1581494702,2071855799769877143
9466950,1581494091,2209003559099461364
9466848,1581492667,2004809000000000000
9466813,1581492305,2166366587062051454
9466681,1581490723,2201726673841757780
9466535,1581488562,2084804731299514628
9466525,1581488438,2203738543935047820
9466431,1581487246,2049551400863102062
9466239,1581484473,2034586386505962266
9466119,1581482917,2022563302993828860
9465975,1581480995,2026164896877800000
9465898,1581479876,2005039335000000000
9465617,1581475880,2121049175271188812
9465577,1581475348,2066259910552955671
9465358,1581472498,2010028546648992935
9465331,1581472109,2052879096554812610
9465292,1581471533,2083613595125223546
9465257,1581471058,2154462229469953810
9465148,1581469588,2002793000000000000
9465021,1581467956,2009375551000000000
9464984,1581467619,2029146488273033964
9464760,1581464712,2095770719420219215
9464744,1581464590,2025282488681570736
9464378,1581459489,2000504000000000000
9464273,1581458190,2010172779420382697
9463991,1581454659,2036878584792697720
9463957,1581454238,2009822857046748592
9463865,1581452907,2029409955905318476
9463760,1581451587,2053019394823899300
9463716,1581450951,2083700524254074992
9463530,1581448634,2002324315000000000
9463426,1581447188,2087032433354100939
9463420,1581447054,2024026720104226496
9463376,1581446464,2093378258011241047
9463258,1581444832,2121115761876570234
9463215,1581444269,2340676012353603264
9463210,1581444238,2055893272487836289
9463069,1581442377,2216384410667078132
9463018,1581441680,2181038845939156000
9462849,1581439179,2150230061030715788
9462834,1581439053,2071436090944368420
9462696,1581437358,2073242671504538234
9462681,1581437177,2157323678379902502
9462677,1581437126,2152022514342152458
9462629,1581436574,2072108085689349434
9462570,1581435946,2072877932050190645
9462425,1581434064,2001480920000000000
9462424,1581434057,2035584214755093000
9462386,1581433533,2109310779486684900
9462260,1581431922,2058209719329899715
9462227,1581431412,2158628071066584800
9462164,1581430567,2173669654461278385
9462153,1581430386,2399442687000000000
9462128,1581430173,2064318666466293000
9461817,1581426050,2155435660539286000
9461642,1581423707,2217572356530796873
9461448,1581421061,2125780998418640646
9461214,1581418003,2124319208744696493
9461148,1581417170,2043928220555977000
9461142,1581417106,2074854683783268857
9461064,1581416047,2020767616135800000
9460826,1581412904,2141518931479692941
9460763,1581411959,2076316122490161000
9460636,1581410316,2039201391515813562
9460603,1581409901,2175748589101926689
9460462,1581408022,2138069086060000000
9460410,1581407217,2103085252575851871
9460388,1581406901,2155945401940780559
9460350,1581406347,2136099525633537103
9460340,1581406185,2080567427900283944
9460335,1581406122,2002136783048800000
9460322,1581405953,2132363170700595896
9460268,1581405428,2030524660621513536
9460006,1581402006,2143702017990461953
9459994,1581401801,2020081258582084000
9459925,1581400883,2120095493902940617
9459741,1581398552,2004122691400000000
9459716,1581398176,2020671881550000000
9459447,1581394614,2013190712444918200
9459435,1581394465,2126623873307975132
9459362,1581393477,2023565819293096697
9459230,1581391788,2018294564648800000
9459226,1581391750,2040738291059876709
9458888,1581386907,2167260009289274243
9458735,1581385106,2131904599429153269
9458555,1581382606,2053730386395673074
9458511,1581382021,2089822453749756799
9458416,1581380827,2072124089584117116
9458383,1581380438,2101524580090608901
9458273,1581378852,2019686591171118056
9458250,1581378492,2027220410025887000
9458217,1581377942,2017231003597336228
9458143,1581376945,2021774013299932558
9458107,1581376519,2015847453539932558
9458082,1581376242,2079495247412209268
9458011,1581375413,2019500054007151770
9457749,1581372057,2047539161532135821
9457111,1581363714,2003741801000000000
9457088,1581363415,2017806507548474268
9456992,1581362138,2010852006530479402
9456926,1581361056,2008129543443837134
9456896,1581360740,2024880588767295784
9456831,1581359935,2070199544843719889
9456805,1581359442,2035533630506094268
9456759,1581358733,2010165886200000000
9456464,1581355358,2040003855259047102
9456386,1581354427,2056871917833524460
9456270,1581352907,2015410872200000000
9456259,1581352747,2180632586265460024
9455897,1581348226,2079200109629304578
9455846,1581347350,2186683905431912961
9455731,1581345905,2033934625659312738
9455728,1581345891,2021749375465444871
9455602,1581344182,2086465966899899260
9455549,1581343437,2121120128253268184
9455466,1581342475,2136216087921058200
9455452,1581342316,2031360604096864397
9455446,1581342266,2028469214939470885
9455423,1581341977,2103334635530468257
9455389,1581341462,2203672531558539161
9455098,1581337247,2057307486081755851
9455077,1581336971,2115712542115565457
9455062,1581336757,2094005074474937790
9454994,1581335852,2016714067546174970
9454930,1581335241,2028050112298285110
9454842,1581334188,2114344347788650180
9454823,1581333943,2046261787651195855
9454679,1581332055,2047620031739884732
9454504,1581329759,2133473856845115963
9454490,1581329574,2149466747194317977
9454470,1581329199,2039308001071866902
9454438,1581328790,2132213544067013893
9454325,1581327413,2002323344651264000
9454280,1581326920,2045103205843630577
9454236,1581326486,2065814642194016619
9454191,1581326010,2023452354775000000
9454044,1581324258,2166421779579606485
9453922,1581322402,2029227625404416562
9453777,1581320346,2107712019513179984
9453741,1581319834,2116653881066809932
9453738,1581319786,2104622123601201595
9453705,1581319450,2184929228584391637
9453648,1581318654,2096361231455389617
9453576,1581317608,2101081076719895983
9453318,1581314450,2153724901567100000
9453236,1581313221,2126872712876542391
9453185,1581312525,2212881060574231684
9453121,1581311694,2111391025364234074
9453104,1581311434,2048457982170924332
9452885,1581308214,2036057804214813594
9452731,1581306141,2064680979378738544
9452713,1581306013,2060459584781193286
9452664,1581305363,2123834543349831997
9452342,1581301085,2002529383000000000
9452201,1581299184,2038523696011559824
9452068,1581297389,2015495332629634000
9452056,1581297184,2009450112380901000
9451903,1581295326,2025159822408422151
9451801,1581293983,2021972868676970478
9451643,1581292087,2060628251651116388
9451596,1581291494,2047973639619104039
9451491,1581290084,2043600504071322480
9451458,1581289580,2027957037040524217
9451282,1581287208,2000210000000000000
9451207,1581286186,2003031375000000000
9451206,1581286184,2001692427000000000
9451196,1581286078,2010625458780091221
9451086,1581284694,2032585671505145863
9450985,1581283668,2087576296907715418
9450763,1581280878,2099080636568135644
9450760,1581280859,2010133219000275730
9450741,1581280637,2053993330050731571
9450670,1581279504,2000000000000000000
9450617,1581278748,2003977101600184504
9450573,1581278083,2019601226092400351
9450455,1581276254,2075325033443312301
9450451,1581276206,2038752078386295825
9450431,1581275895,2110321313369555236
9450320,1581274602,2087408868564866378
9450311,1581274484,2029938361100126000
9450307,1581274454,2021906068610447090
9450159,1581272309,2065849479947682194
9450104,1581271585,2066015999750073157
9449896,1581268628,2085377790300755442
9449878,1581268378,2066444468677634646
9449772,1581266805,2098573042051422523
9449760,1581266550,2020075363199740892
9449742,1581266375,2037089003749038598
9449710,1581265960,2107992689358733704
9449629,1581264691,2015864502995249750
9449625,1581264649,2025052852612195487
9449598,1581264279,2053302017923601358
9449239,1581259913,2103387855137731953
9449120,1581258517,2115518197974513242
9449077,1581257850,2018528883995629235
9448995,1581256550,2001073100000000000
9448867,1581254844,2061848977450946755
9448866,1581254826,2099089505614215979
9448677,1581252221,2064990468241872390
9448629,1581251567,2147338913697898039
9448354,1581248188,2035803547210333700
9448313,1581247740,2040899236740686119
9448266,1581247096,2049735099876857160
9448213,1581246377,2051631305591360324
9448154,1581245674,2059976872291066170
9448045,1581244288,2006042554781760000
9447908,1581242454,2091748991304893000
9447762,1581240379,2111634628496091858
9447628,1581238677,2073599681763264000
9447570,1581237941,2056981811796264704
9447547,1581237560,2087968831150000000
9447449,1581236299,2056365025228932619
9447250,1581233785,2188625415367989552
9447246,1581233708,2133774084925485752
9447220,1581233359,2051756456544254184
9447214,1581233259,2005645675000000000
9447171,1581232718,2060299572886436604
9446814,1581227770,2059500597409033199
9446812,1581227746,2110972886790088587
9446738,1581226785,2086845504215035743
9446728,1581226603,2137510518424785576
9446716,1581226492,2046969825610549504
9446691,1581226138,2002480916000000000
9446688,1581226108,2054814839108335891
9446539,1581224161,2122689602056352747
9446482,1581223417,2085418214361417584
9446479,1581223359,2053862293291655256
9446454,1581222915,2149882764388574235
9446412,1581222296,2115394776720376099
9446342,1581221415,2005344475000000000
9446128,1581218640,2001963885000000000
9445904,1581215440,2098972653644911117
9445889,1581215284,2020730295614342705
9445869,1581215110,2048555754912753034
9445794,1581214178,2069390012604476540
9445653,1581212269,2139204025032656499
9445651,1581212247,2038010151043641910
9445510,1581210367,2102625348080903256
9445463,1581209732,2077276793923239510
9445380,1581208664,2010795743788000000
9445114,1581205275,2020263613858000000
9445086,1581204885,2100663066885900968
9445034,1581204207,2017540447462688000
9444737,1581200223,2030930907173246427
9444723,1581200024,2009633697033039912
9444266,1581193926,2034655323603955007
9444214,1581193248,2090047836053076849
9444182,1581192807,2037402632661566579
9444034,1581190728,2009699435254036688
9443823,1581187994,2029218487999404370
9443635,1581185415,2123185877983961777
9443633,1581185350,2027201370963064069
9443571,1581184552,2031034224996726070
9443507,1581183632,2162547734816045219
9443375,1581182109,2098599414050842077
9443176,1581179476,2101311262133951919
9443068,1581178229,2000000000000000000
9443066,1581178187,2030491976561501091
9443059,1581178106,2096969503238092988
9442924,1581176487,2149990947152311276
9442923,1581176483,2057512745623962028
9442857,1581175535,2134613802966012697
9442745,1581173784,2029371080626248539
9442682,1581172982,2221767610777159384
9442550,1581171230,2119844699738999896
9442537,1581171116,2070725501001840000
9442368,1581168707,2001365000000000000
9442357,1581168570,2032236633352119825
9442047,1581164302,2169990473051658032
9441930,1581162951,2003162715711750000
9441922,1581162890,2009899781905668287
9441898,1581162639,2005704405000000000
9441888,1581162515,2078124350688598770
9441835,1581161880,2102936796483960514
9441826,1581161724,2144842658378208977
9441819,1581161575,2135594379862666792
9441752,1581160842,2163706501458118270
9441746,1581160732,2022042730468000000
9441671,1581159712,2076313137776674708
9441650,1581159489,2065773832135026248
9441439,1581156570,2069540369762462062
9441348,1581155384,2119458286475110516
9441341,1581155276,2144653677201656906
9441282,1581154475,2054911991265677002
9441220,1581153465,2087024191536220554
9441175,1581152596,2043686847136240959
9441129,1581151841,2117056419525940380
9441112,1581151627,2107530165364653653
9441093,1581151358,2004134724318914000
9441076,1581151147,2015653231500000000
9440978,1581150032,2055680488695927423
9440879,1581148828,2000000000000000000
9440851,1581148469,2086714798224244384
9440830,1581148173,2021789132820099056
9440636,1581145493,2095086154361775700
9440490,1581143377,2120827920730137928
9440176,1581139482,2017820029390141404
9440086,1581138379,2124725319189945028
9440036,1581137466,2095862183142402492
9439921,1581136074,2134303553416020602
9439911,1581135871,2083641183248275491
9439888,1581135598,2049155859099080890
9439869,1581135344,2004040419009232159
9439817,1581134704,2097809680746188198
9439749,1581133770,2049072482745454752
9439672,1581132718,2097251241464271526
9439656,1581132542,2053279591153234668
9439488,1581129981,2272704195368815085
9439460,1581129643,2146966456331688168
9439459,1581129634,2065260890762596630
9439316,1581127693,2023617556758417700
9439172,1581125662,2037162405304342000
9439096,1581124731,2006473916000084000
9439014,1581123513,2060907727531720572
9438946,1581122688,2124376493476695039
9438880,1581121846,2106147807000000000
9438803,1581120792,2066220937000398613
9438673,1581118835,2136426369390744000
9438548,1581117030,2036443313554241218
9438450,1581115908,2043327395220000000
9438410,1581115438,2038759789430103416
9438344,1581114656,2081593123025820760
9438330,1581114528,2031942546110046620
9438318,1581114386,2068462679651733884
9438277,1581113793,2115471063592872000
9438251,1581113431,2062475683122042990
9438218,1581112930,2148978838469213834
9438158,1581112043,2041864619980779119
9438151,1581111943,2054298086973587742
9438092,1581111273,2070949064535806200
9438070,1581110968,2056029983528030753
9438012,1581110351,2036894142290634135
9437723,1581106792,2003522307000000000
9437677,1581106189,2086981633724000000
9437646,1581105763,2047445291487652594
9437558,1581104674,2096835046601824180
9437532,1581104373,2046340649787807345
9437420,1581102992,2052883071533313684
9437181,1581099970,2200735203756224924
9437130,1581099278,2003998613000000000
9436952,1581096829,2047041169664522758
9436763,1581094601,2118869067421427000
9436727,1581094121,2193093485409572912
9436361,1581089803,2048145117099513329
9436293,1581088586,2087467527243816678
9436240,1581087906,2000000000000000000
9436234,1581087820,2188251279378656350
9436153,1581086698,2035708655915000000
9436070,1581085425,2061806911182000000
9436061,1581085292,2049996799017475184
9435979,1581084244,2061980462640000000
9435882,1581082883,2067667235556000000
9435619,1581079550,2160964574093199273
9435590,1581079031,2141164734497559956
9435574,1581078746,2109541776448285162
9435327,1581075484,2082457791922480616
9435264,1581074536,2005819463500000000
9435066,1581071859,2142534183051833417
9434782,1581068084,2134169166475820430
9434688,1581066621,2069635878398634854
9434509,1581063987,2119498383355936120
9434414,1581062774,2116325845162070940
9434346,1581062030,2076206212191370000
9434292,1581061378,2078039936614771647
9434151,1581059387,2010433945000000000
9434078,1581058384,2017126851532788857
9433786,1581054520,2057428757897384819
9433720,1581053703,2183379278037798213
9433674,1581053027,2080947128803901638
9433659,1581052712,2037303733863856869
9433594,1581051643,2097470852517389267
9433549,1581051087,2042210974030000000
9433435,1581049682,2129879449190507840
9433419,1581049393,2157274744164128838
9433371,1581048676,2111845634588077910
9433176,1581046180,2044327278910000000
9433023,1581044085,2031355725590000000
9432789,1581040895,2043354629743186920
9432566,1581037786,2187365374804135750
9432367,1581035171,2079232056603442850
9432344,1581034872,2068933112704409476
9432150,1581032277,2067682727338560186
9432115,1581031893,2106157400586401990
9432088,1581031601,2071550021793004738
9431962,1581029919,2045964063915693541
9431946,1581029777,2053149972890000000
9431926,1581029506,2060174600469648910
9431824,1581028233,2076382659747767629
9431822,1581028200,2111218113348893541
9431670,1581026124,2063668441294600666
9431604,1581025189,2096958567387055262
9431577,1581024961,2000000000000000000
9431576,1581024953,2042742561757194424
9431488,1581023886,2074070276280000000
9431253,1581020658,2109509010299178461
9431095,1581018465,2045518759820877642
9430974,1581016955,2048879426040581000
9430932,1581016459,2130258524211829875
9430861,1581015640,2150385781743076530
9430641,1581012734,2042564337800237909
9430528,1581011138,2130974490541303120
9430520,1581011007,2108207869733569850
9430512,1581010895,2126537431756699016
9430502,1581010713,2063109017485617819
9430417,1581009660,2116852645265338007
9430411,1581009593,2098217821113000000
9430296,1581007897,2062500000000000000
9430264,1581007520,2179254901338879910
9430115,1581005369,2067044910440237760
9430090,1581005012,2044705664500288877
9430016,1581004129,2041378756011159391
9429880,1581002183,2044409708084651000
9429857,1581001947,2081785163390071000
9429837,1581001705,2107327335913166819
9429809,1581001372,2054259714325134184
9429762,1581000809,2171327040777425234
9429590,1580998571,2227039140885902454
9429586,1580998534,2077702970183924976
9429362,1580995821,2137416781225166460
9429341,1580995563,2141394684616688415
9429317,1580995217,2095245835408157738
